date,fighter_a_name,fighter_b_name,fighter_a_age_diff,fighter_a_eff_diff,fighter_a_control_rate_diff,weight_class_Bantamweight,weight_class_Featherweight,weight_class_Flyweight,weight_class_Heavyweight,weight_class_Light Heavyweight,weight_class_Lightweight,weight_class_Middleweight,weight_class_Welterweight,weight_class_Women's Bantamweight,weight_class_Women's Featherweight,weight_class_Women's Flyweight,weight_class_Women's Strawweight,cage_size_big,cage_size_small,fighter_a_win_probability,fighter_b_win_probability
04-13-2024,Justin Gaethje,Max Holloway,3.05,-1.8630523648316542,0.04470663377137632,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.53,0.47
04-13-2024,Zhang Weili,Yan Xiaonan,-0.16,0.19627533548123433,0.32699474970999765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.59,0.41000000000000003
04-13-2024,Jiri Prochazka,Aleksandar Rakic,-0.68,-0.7540347859048564,-0.38926177925463545,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.67,0.32999999999999996
04-13-2024,Calvin Kattar,Aljamain Sterling,1.35,-1.386177183930413,-0.0972887687017786,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.43,0.5700000000000001
04-13-2024,Bo Nickal,Cody Brundage,-1.66,2.2403522327142324,1.1114794127881944,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.68,0.31999999999999995
04-13-2024,Charles Oliveira,Arman Tsarukyan,6.99,-1.5135607561360853,-0.31870562975520805,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.34,0.6599999999999999
04-13-2024,Deiveson Figueiredo,Cody Garbrandt,3.55,-0.022404022652240674,-0.04385960655657788,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.37,0.63
04-13-2024,Bobby Green,Jim Miller,-3.03,1.739745739565965,0.10668409923214654,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.68,0.31999999999999995
03-16-2024,Tai Tuivasa,Marcin Tybura,-7.35,-1.1026848804378382,-0.15038784819579726,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.54,0.45999999999999996
03-23-2024,Amanda Ribas,Rose Namajunas,-1.16,-0.521631567934816,0.12289489663208077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.42,0.5800000000000001
03-30-2024,Erin Blanchfield,Manon Fiorot,4.11,-0.001773519294697934,0.4368271968954705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.27,0.73
03-30-2024,Sean Brady,Vicente Luque,-0.99,0.8219700934765782,0.3998698766914309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.45,0.55
02-24-2024,Brandon Moreno,Brandon Royval,-1.31,-0.38242842858525206,0.5061782446101042,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.61,0.39
02-24-2024,Brian Ortega,Yair Rodriguez,1.63,-1.5092569932571762,0.19018472126766447,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.28,0.72
02-24-2024,Yazmin Jauregui,Sam Hughes,-6.67,0.38061593079498934,-0.1410908141355575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.64,0.36
02-24-2024,Edgar Chairez,Daniel Lacerda,0.36,2.3923146529382313,-0.3466752176548622,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.43,0.5700000000000001
02-24-2024,Victor Altamirano,Felipe dos Santos,-1.6733333333333336,1.6,-0.03048875185565833,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7,0.30000000000000004
02-24-2024,Jesus Aguilar,Mateus Mendonca,-1.6733333333333336,3.190173162822003,-0.5767331579269412,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.53,0.47
02-24-2024,Manuel Torres,Chris Duncan,1.3825,2.5843322818086225,-0.23331405538030145,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.19,0.81
02-24-2024,Luis Rodriguez,Denys Bondar,-1.6733333333333336,3.119266055045871,-0.011213047910295617,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.67,0.32999999999999996
02-24-2024,Cristian Quinonez,Raoni Barcelos,-8.99,0.6854390224798308,-0.28952768857209993,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.81,0.18999999999999995
02-24-2024,Daniel Zellhuber,Francisco Prado,2.95,0.1766797835151892,0.2277476262796502,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.48,0.52
